fecha,hora,partido,bookmaker_api,bookmaker_betano,pick,market_original,key,probabilidad,prob_num,cuota_justa,cuota_api,ev_api,ev_api_num,dif_api_vs_justa,ratio_api_vs_justa,cuota_betano,ev_betano,ev_betano_num,dif_betano_vs_justa,ratio_betano_vs_justa,estado_api,estado_betano,perfil_pick,prioridad_mercado,score,score_num,alerta_valor,cobertura_betano,confianza,fuente,razon,riesgo,betano_url,modelo_base,fuente_local,partidos_local,goles_favor_local,goles_contra_local,ultimos_local,fuente_visita,partidos_visita,goles_favor_visita,goles_contra_visita,ultimos_visita
2026-09-19,11:30,Nottingham Forest vs Coventry,William Hill,Betano,1T +0.5,FIRST_HALF_TOTALS OVER.0.5,FIRST_HALF_TOTALS:OVER_0_5,46.5%,0.464700,2.15,1.33,-0.38,-0.381900,-0.82,0.62,1.38,-0.36,-0.358700,-0.77,0.64,EV negativo,EV negativo Betano,Evitar,5,47.86,47.861000,Cuota por debajo de la cuota justa: valor limitado,Betano mapeado,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el primer tiempo puede tener ritmo bajo o rotaciones,https://www.betano.pe/cuotas-de-partido/nottingham-forest-coventry-city/92004650/,torneo actual,torneo actual,4,4.0,4.0,2026-09-12 · Premier League · Aston Villa 1-2 Nottingham Forest (G); 2026-09-05 · Premier League · Nottingham Forest 0-0 Tottenham (E); 2026-08-29 · Premier League · Liverpool 2-2 Nottingham Forest (E); 2026-08-22 · Premier League · Nottingham Forest 0-1 Leeds (P),torneo actual,3,0.0,5.0,2026-09-05 · Premier League · Manchester City 1-0 Coventry (P); 2026-08-29 · Premier League · Coventry 0-1 Hull City (P); 2026-08-21 · Premier League · Arsenal 3-0 Coventry (P)
2026-09-19,11:30,Nottingham Forest vs Coventry,,,SHOTS_ON_TARGET_TOTAL OVER.6.5,SHOTS_ON_TARGET_TOTAL OVER.6.5,SHOTS_ON_TARGET_TOTAL:OVER_6_5,46.0%,0.460300,2.17,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,49.03,49.029000,,Betano mapeado,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/nottingham-forest-coventry-city/92004650/,torneo actual,torneo actual,4,4.0,4.0,2026-09-12 · Premier League · Aston Villa 1-2 Nottingham Forest (G); 2026-09-05 · Premier League · Nottingham Forest 0-0 Tottenham (E); 2026-08-29 · Premier League · Liverpool 2-2 Nottingham Forest (E); 2026-08-22 · Premier League · Nottingham Forest 0-1 Leeds (P),torneo actual,3,0.0,5.0,2026-09-05 · Premier League · Manchester City 1-0 Coventry (P); 2026-08-29 · Premier League · Coventry 0-1 Hull City (P); 2026-08-21 · Premier League · Arsenal 3-0 Coventry (P)
2026-09-19,11:30,Nottingham Forest vs Coventry,,,SHOTS_TOTAL OVER.24.5,SHOTS_TOTAL OVER.24.5,SHOTS_TOTAL:OVER_24_5,43.2%,0.432500,2.31,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,46.25,46.249000,,Betano mapeado,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/nottingham-forest-coventry-city/92004650/,torneo actual,torneo actual,4,4.0,4.0,2026-09-12 · Premier League · Aston Villa 1-2 Nottingham Forest (G); 2026-09-05 · Premier League · Nottingham Forest 0-0 Tottenham (E); 2026-08-29 · Premier League · Liverpool 2-2 Nottingham Forest (E); 2026-08-22 · Premier League · Nottingham Forest 0-1 Leeds (P),torneo actual,3,0.0,5.0,2026-09-05 · Premier League · Manchester City 1-0 Coventry (P); 2026-08-29 · Premier League · Coventry 0-1 Hull City (P); 2026-08-21 · Premier League · Arsenal 3-0 Coventry (P)
2026-09-19,11:30,Nottingham Forest vs Coventry,William Hill,Betano,Goles -1.5,TOTALS UNDER.1.5,TOTALS:UNDER_1_5,42.2%,0.422500,2.37,1.75,-0.26,-0.260600,-0.62,0.74,4.00,0.69,0.690000,1.63,1.69,EV negativo,EV positivo Betano,Evitar,1,42.60,42.600000,Cuota por debajo de la cuota justa: valor limitado,Betano mapeado,Baja,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado,https://www.betano.pe/cuotas-de-partido/nottingham-forest-coventry-city/92004650/,torneo actual,torneo actual,4,4.0,4.0,2026-09-12 · Premier League · Aston Villa 1-2 Nottingham Forest (G); 2026-09-05 · Premier League · Nottingham Forest 0-0 Tottenham (E); 2026-08-29 · Premier League · Liverpool 2-2 Nottingham Forest (E); 2026-08-22 · Premier League · Nottingham Forest 0-1 Leeds (P),torneo actual,3,0.0,5.0,2026-09-05 · Premier League · Manchester City 1-0 Coventry (P); 2026-08-29 · Premier League · Coventry 0-1 Hull City (P); 2026-08-21 · Premier League · Arsenal 3-0 Coventry (P)
2026-09-19,11:30,Nottingham Forest vs Coventry,,Betano,Local goles +1.5,TEAM_TOTAL_HOME OVER.1.5,TEAM_TOTAL_HOME:OVER_1_5,42.2%,0.421900,2.37,,,,,,1.65,-0.30,-0.303900,-0.72,0.70,Sin cuota/EV,EV negativo Betano,Solo modelo,4,61.33,61.326000,,Betano mapeado,Baja,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado,https://www.betano.pe/cuotas-de-partido/nottingham-forest-coventry-city/92004650/,torneo actual,torneo actual,4,4.0,4.0,2026-09-12 · Premier League · Aston Villa 1-2 Nottingham Forest (G); 2026-09-05 · Premier League · Nottingham Forest 0-0 Tottenham (E); 2026-08-29 · Premier League · Liverpool 2-2 Nottingham Forest (E); 2026-08-22 · Premier League · Nottingham Forest 0-1 Leeds (P),torneo actual,3,0.0,5.0,2026-09-05 · Premier League · Manchester City 1-0 Coventry (P); 2026-08-29 · Premier League · Coventry 0-1 Hull City (P); 2026-08-21 · Premier League · Arsenal 3-0 Coventry (P)
2026-09-19,11:30,Nottingham Forest vs Coventry,,Betano,Tarjetas total -3.5,CARDS_TOTALS UNDER.3.5,CARDS_TOTALS:UNDER_3_5,41.7%,0.417400,2.40,,,,,,1.90,-0.21,-0.206900,-0.50,0.79,Sin cuota/EV,EV negativo Betano,Solo modelo,3,54.43,54.433000,,Betano mapeado,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/nottingham-forest-coventry-city/92004650/,torneo actual,torneo actual,4,4.0,4.0,2026-09-12 · Premier League · Aston Villa 1-2 Nottingham Forest (G); 2026-09-05 · Premier League · Nottingham Forest 0-0 Tottenham (E); 2026-08-29 · Premier League · Liverpool 2-2 Nottingham Forest (E); 2026-08-22 · Premier League · Nottingham Forest 0-1 Leeds (P),torneo actual,3,0.0,5.0,2026-09-05 · Premier League · Manchester City 1-0 Coventry (P); 2026-08-29 · Premier League · Coventry 0-1 Hull City (P); 2026-08-21 · Premier League · Arsenal 3-0 Coventry (P)
2026-09-19,11:30,Nottingham Forest vs Coventry,,,SHOTS_TOTAL UNDER.22.5,SHOTS_TOTAL UNDER.22.5,SHOTS_TOTAL:UNDER_22_5,40.5%,0.404700,2.47,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,43.47,43.473000,,Betano mapeado,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/nottingham-forest-coventry-city/92004650/,torneo actual,torneo actual,4,4.0,4.0,2026-09-12 · Premier League · Aston Villa 1-2 Nottingham Forest (G); 2026-09-05 · Premier League · Nottingham Forest 0-0 Tottenham (E); 2026-08-29 · Premier League · Liverpool 2-2 Nottingham Forest (E); 2026-08-22 · Premier League · Nottingham Forest 0-1 Leeds (P),torneo actual,3,0.0,5.0,2026-09-05 · Premier League · Manchester City 1-0 Coventry (P); 2026-08-29 · Premier League · Coventry 0-1 Hull City (P); 2026-08-21 · Premier League · Arsenal 3-0 Coventry (P)
2026-09-19,11:30,Nottingham Forest vs Coventry,,,DOUBLE_CHANCE X2,DOUBLE_CHANCE X2,DOUBLE_CHANCE:X2,39.5%,0.395100,2.53,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,9,84.51,84.511000,,Betano mapeado,Baja,torneo actual,usa Poisson base con estadisticas de goles del torneo,riesgo propio del resultado final y variacion del modelo,https://www.betano.pe/cuotas-de-partido/nottingham-forest-coventry-city/92004650/,torneo actual,torneo actual,4,4.0,4.0,2026-09-12 · Premier League · Aston Villa 1-2 Nottingham Forest (G); 2026-09-05 · Premier League · Nottingham Forest 0-0 Tottenham (E); 2026-08-29 · Premier League · Liverpool 2-2 Nottingham Forest (E); 2026-08-22 · Premier League · Nottingham Forest 0-1 Leeds (P),torneo actual,3,0.0,5.0,2026-09-05 · Premier League · Manchester City 1-0 Coventry (P); 2026-08-29 · Premier League · Coventry 0-1 Hull City (P); 2026-08-21 · Premier League · Arsenal 3-0 Coventry (P)
2026-09-19,11:30,Nottingham Forest vs Coventry,,,Visita goles +0.5,TEAM_TOTAL_AWAY OVER.0.5,TEAM_TOTAL_AWAY:OVER_0_5,39.4%,0.393500,2.54,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,55.35,55.346000,,Betano mapeado,Baja,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado,https://www.betano.pe/cuotas-de-partido/nottingham-forest-coventry-city/92004650/,torneo actual,torneo actual,4,4.0,4.0,2026-09-12 · Premier League · Aston Villa 1-2 Nottingham Forest (G); 2026-09-05 · Premier League · Nottingham Forest 0-0 Tottenham (E); 2026-08-29 · Premier League · Liverpool 2-2 Nottingham Forest (E); 2026-08-22 · Premier League · Nottingham Forest 0-1 Leeds (P),torneo actual,3,0.0,5.0,2026-09-05 · Premier League · Manchester City 1-0 Coventry (P); 2026-08-29 · Premier League · Coventry 0-1 Hull City (P); 2026-08-21 · Premier League · Arsenal 3-0 Coventry (P)
2026-09-19,11:30,Nottingham Forest vs Coventry,,Betano,Tarjetas total +4.5,CARDS_TOTALS OVER.4.5,CARDS_TOTALS:OVER_4_5,38.7%,0.387400,2.58,,,,,,2.65,0.03,0.026600,0.07,1.03,Sin cuota/EV,EV positivo Betano,Solo modelo,3,55.16,55.163000,,Betano mapeado,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/nottingham-forest-coventry-city/92004650/,torneo actual,torneo actual,4,4.0,4.0,2026-09-12 · Premier League · Aston Villa 1-2 Nottingham Forest (G); 2026-09-05 · Premier League · Nottingham Forest 0-0 Tottenham (E); 2026-08-29 · Premier League · Liverpool 2-2 Nottingham Forest (E); 2026-08-22 · Premier League · Nottingham Forest 0-1 Leeds (P),torneo actual,3,0.0,5.0,2026-09-05 · Premier League · Manchester City 1-0 Coventry (P); 2026-08-29 · Premier League · Coventry 0-1 Hull City (P); 2026-08-21 · Premier League · Arsenal 3-0 Coventry (P)
2026-09-19,11:30,Nottingham Forest vs Coventry,,,Corners total -7.5,CORNERS_TOTALS UNDER.7.5,CORNERS_TOTALS:UNDER_7_5,38.6%,0.385600,2.59,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,6,68.56,68.560000,,Betano mapeado,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/nottingham-forest-coventry-city/92004650/,torneo actual,torneo actual,4,4.0,4.0,2026-09-12 · Premier League · Aston Villa 1-2 Nottingham Forest (G); 2026-09-05 · Premier League · Nottingham Forest 0-0 Tottenham (E); 2026-08-29 · Premier League · Liverpool 2-2 Nottingham Forest (E); 2026-08-22 · Premier League · Nottingham Forest 0-1 Leeds (P),torneo actual,3,0.0,5.0,2026-09-05 · Premier League · Manchester City 1-0 Coventry (P); 2026-08-29 · Premier League · Coventry 0-1 Hull City (P); 2026-08-21 · Premier League · Arsenal 3-0 Coventry (P)
2026-09-19,11:30,Nottingham Forest vs Coventry,,,Visita tarjetas +1.5,CARDS_AWAY OVER.1.5,CARDS_AWAY:OVER_1_5,38.5%,0.384800,2.60,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,41.48,41.482000,,Betano mapeado,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/nottingham-forest-coventry-city/92004650/,torneo actual,torneo actual,4,4.0,4.0,2026-09-12 · Premier League · Aston Villa 1-2 Nottingham Forest (G); 2026-09-05 · Premier League · Nottingham Forest 0-0 Tottenham (E); 2026-08-29 · Premier League · Liverpool 2-2 Nottingham Forest (E); 2026-08-22 · Premier League · Nottingham Forest 0-1 Leeds (P),torneo actual,3,0.0,5.0,2026-09-05 · Premier League · Manchester City 1-0 Coventry (P); 2026-08-29 · Premier League · Coventry 0-1 Hull City (P); 2026-08-21 · Premier League · Arsenal 3-0 Coventry (P)
2026-09-19,11:30,Nottingham Forest vs Coventry,,,Visita corners +5.5,CORNERS_AWAY OVER.5.5,CORNERS_AWAY:OVER_5_5,34.8%,0.347500,2.88,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,50.75,50.751000,,Betano mapeado,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/nottingham-forest-coventry-city/92004650/,torneo actual,torneo actual,4,4.0,4.0,2026-09-12 · Premier League · Aston Villa 1-2 Nottingham Forest (G); 2026-09-05 · Premier League · Nottingham Forest 0-0 Tottenham (E); 2026-08-29 · Premier League · Liverpool 2-2 Nottingham Forest (E); 2026-08-22 · Premier League · Nottingham Forest 0-1 Leeds (P),torneo actual,3,0.0,5.0,2026-09-05 · Premier League · Manchester City 1-0 Coventry (P); 2026-08-29 · Premier League · Coventry 0-1 Hull City (P); 2026-08-21 · Premier League · Arsenal 3-0 Coventry (P)
2026-09-19,11:30,Nottingham Forest vs Coventry,,Betano,Corners total +9.5,CORNERS_TOTALS OVER.9.5,CORNERS_TOTALS:OVER_9_5,34.7%,0.347000,2.88,,,,,,1.87,-0.35,-0.351100,-1.01,0.65,Sin cuota/EV,EV negativo Betano,Solo modelo,6,67.08,67.085000,,Betano mapeado,Baja,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/nottingham-forest-coventry-city/92004650/,torneo actual,torneo actual,4,4.0,4.0,2026-09-12 · Premier League · Aston Villa 1-2 Nottingham Forest (G); 2026-09-05 · Premier League · Nottingham Forest 0-0 Tottenham (E); 2026-08-29 · Premier League · Liverpool 2-2 Nottingham Forest (E); 2026-08-22 · Premier League · Nottingham Forest 0-1 Leeds (P),torneo actual,3,0.0,5.0,2026-09-05 · Premier League · Manchester City 1-0 Coventry (P); 2026-08-29 · Premier League · Coventry 0-1 Hull City (P); 2026-08-21 · Premier League · Arsenal 3-0 Coventry (P)
