fecha,hora,partido,bookmaker_api,bookmaker_betano,pick,market_original,key,probabilidad,prob_num,cuota_justa,cuota_api,ev_api,ev_api_num,dif_api_vs_justa,ratio_api_vs_justa,cuota_betano,ev_betano,ev_betano_num,dif_betano_vs_justa,ratio_betano_vs_justa,estado_api,estado_betano,perfil_pick,prioridad_mercado,score,score_num,alerta_valor,cobertura_betano,confianza,fuente,razon,riesgo,betano_url
2026-09-06,08:00,Estac Troyes vs Strasbourg,,,Local corners -6.5,CORNERS_HOME UNDER.6.5,CORNERS_HOME:UNDER_6_5,76.2%,0.762200,1.31,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,92.22,92.218000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/es-troyes-ac-rc-strasbourg/91426224/
2026-09-06,08:00,Estac Troyes vs Strasbourg,,Betano,Corners total -9.5,CORNERS_TOTALS UNDER.9.5,CORNERS_TOTALS:UNDER_9_5,74.7%,0.747100,1.34,,,,,,1.44,0.08,0.075800,0.10,1.08,Sin cuota/EV,EV positivo Betano,Solo modelo,6,113.92,113.925000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/es-troyes-ac-rc-strasbourg/91426224/
2026-09-06,08:00,Estac Troyes vs Strasbourg,William Hill,Betano,Goles +1.5,TOTALS OVER.1.5,TOTALS:OVER_1_5,74.0%,0.740100,1.35,2.10,0.55,0.554200,0.75,1.55,1.30,-0.04,-0.037900,-0.05,0.96,EV positivo,EV negativo Betano,Seguro,10,146.38,146.378000,,Betano mapeado,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado,https://www.betano.pe/cuotas-de-partido/es-troyes-ac-rc-strasbourg/91426224/
2026-09-06,08:00,Estac Troyes vs Strasbourg,,,Local tarjetas -1.5,CARDS_HOME UNDER.1.5,CARDS_HOME:UNDER_1_5,73.6%,0.735800,1.36,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,76.58,76.576000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/es-troyes-ac-rc-strasbourg/91426224/
2026-09-06,08:00,Estac Troyes vs Strasbourg,,,Local corners +3.5,CORNERS_HOME OVER.3.5,CORNERS_HOME:OVER_3_5,73.5%,0.735000,1.36,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,89.50,89.497000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/es-troyes-ac-rc-strasbourg/91426224/
2026-09-06,08:00,Estac Troyes vs Strasbourg,William Hill,Betano,Goles -3.5,TOTALS UNDER.3.5,TOTALS:UNDER_3_5,72.7%,0.727400,1.38,1.05,-0.24,-0.236200,-0.32,0.76,1.37,-0.00,-0.003500,-0.01,1.00,EV negativo,EV negativo Betano,Evitar,10,107.44,107.435000,Cuota por debajo de la cuota justa: valor limitado,Betano mapeado,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado,https://www.betano.pe/cuotas-de-partido/es-troyes-ac-rc-strasbourg/91426224/
2026-09-06,08:00,Estac Troyes vs Strasbourg,,,Local goles -2.5,TEAM_TOTAL_HOME UNDER.2.5,TEAM_TOTAL_HOME:UNDER_2_5,70.7%,0.706600,1.42,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,86.66,86.658000,,Betano mapeado,Alta,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado,https://www.betano.pe/cuotas-de-partido/es-troyes-ac-rc-strasbourg/91426224/
2026-09-06,08:00,Estac Troyes vs Strasbourg,,,Visita corners -3.5,CORNERS_AWAY UNDER.3.5,CORNERS_AWAY:UNDER_3_5,70.3%,0.703000,1.42,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,4,86.30,86.304000,,Betano mapeado,Alta,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/es-troyes-ac-rc-strasbourg/91426224/
2026-09-06,08:00,Estac Troyes vs Strasbourg,,,SHOTS_TOTAL UNDER.26.5,SHOTS_TOTAL UNDER.26.5,SHOTS_TOTAL:UNDER_26_5,68.6%,0.685700,1.46,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,71.57,71.566000,,Betano mapeado,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano,https://www.betano.pe/cuotas-de-partido/es-troyes-ac-rc-strasbourg/91426224/
2026-09-06,08:00,Estac Troyes vs Strasbourg,,,Visita tarjetas -2.5,CARDS_AWAY UNDER.2.5,CARDS_AWAY:UNDER_2_5,67.7%,0.676700,1.48,,,,,,,,,,,Sin cuota/EV,No encontrado en Betano,Solo modelo,2,70.67,70.668000,,Betano mapeado,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo,https://www.betano.pe/cuotas-de-partido/es-troyes-ac-rc-strasbourg/91426224/
