fecha,hora,partido,bookmaker,pick,market_original,probabilidad,prob_num,cuota,ev,ev_num,estado,confianza,fuente,razon,riesgo
2026-06-25,15:00,Curaçao vs Ivory Coast,10Bet,Visita corners +4.5,CORNERS_AWAY OVER.4.5,68.0%,0.680100,,,,Sin cuota/EV,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-25,15:00,Curaçao vs Ivory Coast,10Bet,Corners total -10.5,CORNERS_TOTALS UNDER.10.5,67.6%,0.676000,,,,Sin cuota/EV,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-25,15:00,Curaçao vs Ivory Coast,10Bet,TEAM_TOTAL_AWAY OVER.1.5,TEAM_TOTAL_AWAY OVER.1.5,65.7%,0.656900,,,,Sin cuota/EV,Media,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-06-25,15:00,Curaçao vs Ivory Coast,10Bet,Visita corners -6.5,CORNERS_AWAY UNDER.6.5,64.6%,0.646400,1.85,0.20,0.195800,EV positivo,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
2026-06-25,15:00,Curaçao vs Ivory Coast,10Bet,1T -1.5,FIRST_HALF_TOTALS UNDER.1.5,64.5%,0.644600,1.40,-0.10,-0.097500,EV negativo,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el primer tiempo puede tener ritmo bajo o rotaciones
2026-06-25,15:00,Curaçao vs Ivory Coast,10Bet,Goles -3.5,TOTALS UNDER.3.5,63.4%,0.634300,1.60,0.01,0.014900,EV negativo,Media,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-06-25,15:00,Curaçao vs Ivory Coast,10Bet,Tarjetas total -4.5,CARDS_TOTALS UNDER.4.5,62.9%,0.628800,,,,Sin cuota/EV,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,depende mucho del arbitro y del contexto competitivo
2026-06-25,15:00,Curaçao vs Ivory Coast,10Bet,TEAM_TOTAL_AWAY UNDER.2.5,TEAM_TOTAL_AWAY UNDER.2.5,61.0%,0.609900,,,,Sin cuota/EV,Media,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-06-25,15:00,Curaçao vs Ivory Coast,10Bet,Goles +2.5,TOTALS OVER.2.5,59.0%,0.589600,3.20,0.89,0.886600,EV positivo,Media,torneo actual,usa Poisson base con estadisticas de goles del torneo,un gol temprano o baja eficacia puede cambiar la lectura del mercado
2026-06-25,15:00,Curaçao vs Ivory Coast,10Bet,Corners total +8.5,CORNERS_TOTALS OVER.8.5,57.7%,0.576800,,,,Sin cuota/EV,Media,contexto premium torneo actual,usa promedios del contexto premium/API-Football,el volumen ofensivo puede variar por planteamiento y marcador temprano
